id,key,value,type
110654297,highway,turning_circle,regular
110654714,highway,turning_circle,regular
110654727,highway,turning_circle,regular
110654905,highway,turning_circle,regular
110654931,highway,turning_circle,regular
110655074,highway,turning_circle,regular
110655103,highway,turning_circle,regular
110655447,highway,turning_circle,regular
110655541,highway,turning_circle,regular
110655869,crossing,marked,regular
110655869,highway,crossing,regular
110655947,highway,turning_circle,regular
110655988,highway,turning_circle,regular
110656425,highway,turning_circle,regular
110656466,noexit,yes,regular
110656611,highway,traffic_signals,regular
110656622,highway,traffic_signals,regular
110656633,junction,roundabout,regular
110656802,highway,traffic_signals,regular
110657425,highway,turning_circle,regular
110657700,noexit,yes,regular
110657998,highway,turning_circle,regular
110658025,highway,turning_circle,regular
110658036,highway,turning_circle,regular
110658047,noexit,yes,regular
110658095,highway,turning_circle,regular
110658383,highway,turning_circle,regular
110658389,highway,turning_circle,regular
110658472,highway,turning_circle,regular
110658580,highway,turning_circle,regular
110658673,highway,turning_circle,regular
110658712,highway,turning_circle,regular
